"...1","object_id","city","county","region","development","locality","on_road","rural_urban","speed_limit","traffic_control","weather","workzone","bike_age","bike_age_group","bike_alcohol","bike_alcohol_drugs","bike_direction","bike_injury","bike_position","bike_race","bike_sex","driver_age","driver_age_group","driver_alcohol","driver_alcohol_drugs","driver_est_speed","driver_injury","driver_race","driver_sex","driver_vehicle_type","crash_alcohol","crash_date","crash_day","crash_group","crash_hour","crash_location","crash_month","crash_severity","crash_time","crash_type","crash_year","ambulance_req","hit_run","light_condition","road_character","road_class","road_condition","road_configuration","road_defects","road_feature","road_surface","num_bikes_ai","num_bikes_bi","num_bikes_ci","num_bikes_ki","num_bikes_no","num_bikes_to","num_bikes_ui","num_lanes","num_units","distance_mi_from","frm_road","rte_invd_cd","towrd_road"
1,1686,"None - Rural Crash","Wayne","Coastal","Farms, Woods, Pastures","Rural (<30% Developed)","SR 1915","Rural","50 - 55  MPH","No Control Present","Clear","No",52,"50-59","No",NA,"With Traffic","B: Evident Injury","Bike Lane / Paved Shoulder","Black","Male",34,"30-39","No",NA,"51-55 mph","O: No Injury","White","Male","Single Unit Truck (2-Axle, 6-Tire)","No","11DEC2013","Wednesday","Motorist Overtaking Bicyclist",6,"Non-Intersection","December","B: Evident Injury",22200,"Motorist Overtaking - Undetected Bicyclist",2013,"Yes","No","Dark - Roadway Not Lighted","Straight - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
2,1674,"Henderson","Vance","Piedmont","Residential","Mixed (30% To 70% Developed)","NICHOLAS ST","Urban","30 - 35  MPH","Stop Sign","Clear","No",66,"60-69","No",NA,"With Traffic","C: Possible Injury","Travel Lane","Black","Male",NA,NA,"Missing",NA,"6-10 mph","Unknown Injury","Unknown/Missing",NA,NA,"No","20NOV2013","Wednesday","Bicyclist Failed to Yield - Sign-Controlled Intersection",20,"Intersection","November","C: Possible Injury",74460,"Bicyclist Ride Out - Sign-Controlled Intersection",2013,"No","Yes",NA,"Straight - Level","Local Street","Dry","Two-Way, Divided, Unprotected Median",NA,"T-Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
3,1673,"None - Rural Crash","Lincoln","Piedmont","Farms, Woods, Pastures","Rural (<30% Developed)","US 321","Rural","50 - 55  MPH","Double Yellow Line, No Passing Zone","Clear","No",33,"30-39","No",NA,"With Traffic","C: Possible Injury","Travel Lane","White","Male",37,"30-39","No",NA,"41-45 mph","O: No Injury","Hispanic","Female","Passenger Car","No","03NOV2013","Sunday","Motorist Overtaking Bicyclist",18,"Non-Intersection","November","C: Possible Injury",65100,"Motorist Overtaking - Undetected Bicyclist",2013,"Yes","No","Dark - Roadway Not Lighted","Straight - Grade","US Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
4,1687,"Whiteville","Columbus","Coastal","Commercial","Urban (>70% Developed)","W BURKHEAD ST","Urban","30 - 35  MPH","No Control Present","Rain","No",52,"50-59","Yes",NA,NA,"C: Possible Injury",NA,"Black","Male",55,"50-59","No",NA,"11-15 mph","O: No Injury","Black","Male","Passenger Car","Yes","14DEC2013","Saturday","Bicyclist Failed to Yield - Signalized Intersection",18,"Intersection","December","C: Possible Injury",66840,"Bicyclist Ride Out - Signalized  Intersection",2013,"Yes","No","Dark - Lighted Roadway","Straight - Level","Local Street","Water (Standing, Moving)","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"1 lane",2,0,NA,0,NA
5,1653,"Wilmington","New Hanover","Coastal","Residential","Urban (>70% Developed)","RACINE DR","Urban",NA,"Stop And Go Signal","Clear","No",22,"20-24","No",NA,"Facing Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Female",25,"25-29","No",NA,NA,"O: No Injury","White","Male","Passenger Car","No","24OCT2013","Thursday","Motorist Failed to Yield - Signalized Intersection",13,"Intersection","October","C: Possible Injury",48420,"Motorist Drive Out - Right Turn on Red",2013,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Concrete",0,0,0,0,0,0,0,"8 lanes",2,0,NA,0,NA
6,1665,"None - Rural Crash","Robeson","Coastal","Farms, Woods, Pastures","Rural (<30% Developed)","SR 1513","Rural","50 - 55  MPH","No Control Present","Cloudy","No",15,"11-15","No",NA,"With Traffic","B: Evident Injury","Travel Lane","Native American","Male",17,"0-19","No",NA,"41-45 mph","O: No Injury","Native American","Female","Passenger Car","No","03DEC2013","Tuesday","Motorist Overtaking Bicyclist",17,"Non-Intersection","December","B: Evident Injury",63000,"Motorist Overtaking - Undetected Bicyclist",2013,"Yes","No","Dusk","Straight - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
7,1642,"None - Rural Crash","Richmond","Piedmont","Residential","Mixed (30% To 70% Developed)","SR 1903","Rural","30 - 35  MPH","No Control Present","Clear","No",41,"40-49","No",NA,"Facing Traffic","B: Evident Injury","Bike Lane / Paved Shoulder","White","Female",NA,NA,"Missing",NA,"31-35 mph","Unknown Injury","Unknown/Missing",NA,"Van","No","20NOV2013","Wednesday","Head-On",17,"Non-Intersection","November","B: Evident Injury",63960,"Head-On - Bicyclist",2013,"Yes","Yes","Dark - Roadway Not Lighted","Straight - Level","State Secondary Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
8,1675,"Raleigh","Wake","Piedmont","Commercial","Urban (>70% Developed)","PERSON ST","Urban","30 - 35  MPH","Stop And Go Signal","Rain","No",14,"11-15","No",NA,NA,"C: Possible Injury",NA,"Black","Male",50,"50-59","No",NA,"31-35 mph","O: No Injury","Black","Female","Passenger Car","No","10DEC2013","Tuesday","Other/Unknown - Insufficient Details",7,"Non-Intersection","December","C: Possible Injury",26520,"Unknown Approach Paths",2013,"Yes","No","Daylight","Straight - Level","Local Street","Water (Standing, Moving)","One-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"3 lanes",2,0,NA,0,NA
9,1668,"Whiteville","Columbus","Coastal","Residential","Rural (<30% Developed)","FLOWERS-PRIDGEN RD","Urban","30 - 35  MPH","No Control Present","Clear","No",16,"16-19","No",NA,"Facing Traffic","C: Possible Injury",NA,"Black","Male",32,"30-39","No",NA,"6-10 mph","O: No Injury","White","Male","Pickup","No","25NOV2013","Monday","Bicyclist Right Turn / Merge",15,"Non-Intersection","November","C: Possible Injury",55380,"Bicyclist Right Turn - Same Direction",2013,"Yes","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
10,1662,"New Bern","Craven","Coastal","Residential","Urban (>70% Developed)","SUTTON ST","Urban","20 - 25  MPH","No Control Present","Rain","No",54,"50-59","No",NA,"With Traffic","C: Possible Injury","Travel Lane","Black","Male",69,"60-69","No",NA,"0-5 mph","O: No Injury","Black","Female","Passenger Car","No","29NOV2013","Friday","Motorist Overtaking Bicyclist",2,"Non-Intersection","November","C: Possible Injury",8880,"Motorist Overtaking - Other / Unknown",2013,"No","No","Daylight","Straight - Level","Local Street","Wet","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
11,1807,"Wilmington","New Hanover","Coastal","Residential","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","Stop And Go Signal","Clear","No",21,"20-24","No",NA,"Facing Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Female",20,"20-24","No",NA,"6-10 mph","O: No Injury","White","Female","Passenger Car","No","09FEB2012","Thursday","Bicyclist Failed to Yield - Signalized Intersection",12,"Intersection","February","C: Possible Injury",44460,"Bicyclist Ride Through - Signalized Intersection",2012,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"3 lanes",2,0,NA,0,NA
12,1816,"Asheville","Buncombe","Mountains","Residential","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","No Control Present","Cloudy","No",34,"30-39","Yes",NA,"With Traffic","C: Possible Injury","Travel Lane","White","Female",24,"20-24","No",NA,"6-10 mph","O: No Injury","White","Male","Police","Yes","22FEB2012","Wednesday","Motorist Failed to Yield - Sign-Controlled Intersection",22,"Intersection","February","C: Possible Injury",80280,"Motorist Drive Out - Sign-Controlled Intersection",2012,"No","No","Dark - Lighted Roadway","Straight - Level","Local Street","Wet","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
13,1835,"Stanley","Gaston","Piedmont","Commercial","Mixed (30% To 70% Developed)",NA,"Rural","30 - 35  MPH","Stop And Go Signal","Clear","No",69,"60-69","No",NA,NA,"Unknown Injury","Sidewalk / Crosswalk / Driveway Crossing","Unknown/Missing",NA,NA,NA,"No",NA,"11-15 mph","Unknown Injury","Unknown/Missing",NA,"Tractor/Semi-Trailer","No","07JAN2012","Saturday","Other / Unknown - Insufficient Details",12,"Intersection","January","Unknown Injury",44100,"Unknown Approach Paths",2012,"No","Yes","Daylight","Straight - Grade","NC Route","Dry","Two-Way, Not Divided","None","Four-Way Intersection","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
14,1825,"Wilmington","New Hanover","Coastal","Residential","Urban (>70% Developed)",NA,"Urban","20 - 25  MPH","Stop Sign","Clear","No",24,"20-24","No",NA,"Facing Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male",48,"40-49","No",NA,"0-5 mph","O: No Injury","Black","Female","Passenger Car","No","15FEB2012","Wednesday","Crossing Paths - Other Circumstances",13,"Intersection","February","C: Possible Injury",46800,"Sign-Controlled Intersection - Other / Unknown",2012,"Yes","No","Daylight","Straight - Level","Local Street","Dry","One-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"4 lanes",2,0,NA,0,NA
15,1823,"Greensboro","Guilford","Piedmont","Commercial","Urban (>70% Developed)",NA,"Urban",NA,"No Control Present","Clear","No",40,"40-49","No",NA,"Facing Traffic","B: Evident Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male",21,"20-24","No",NA,"0-5 mph","O: No Injury","Black","Female","Passenger Car","No","02FEB2012","Thursday","Motorist Failed to Yield - Midblock",22,"Non-Intersection","February","B: Evident Injury",80160,"Motorist Drive Out - Commercial Driveway / Alley",2012,"Yes","No","Daylight","Straight - Level","Public Vehicular Area","Dry",NA,"None","Driveway, Public","Smooth Asphalt",0,0,0,0,0,0,0,NA,2,0,NA,0,NA
16,1809,"Smithfield","Johnston","Coastal","Commercial","Urban (>70% Developed)",NA,"Urban",NA,"No Control Present","Clear","No",20,"20-24","No",NA,"Facing Traffic","C: Possible Injury","Sidewalk / Crosswalk / Driveway Crossing","White","Male",23,"20-24","No",NA,NA,"O: No Injury","White","Male","Passenger Car","No","13FEB2012","Monday","Loss of Control / Turning Error",17,"Non-Intersection","February","C: Possible Injury",64560,"Bicyclist Lost Control - Mechanical Problems",2012,"Yes","No","Daylight","Straight - Level","US Route","Dry","Two-Way, Not Divided","None","Driveway, Public","Coarse Asphalt",0,0,0,0,0,0,0,"5 lanes",2,0,NA,0,NA
17,1840,"Boone","Watauga","Mountains","Commercial","Urban (>70% Developed)",NA,"Urban","20 - 25  MPH","Double Yellow Line, No Passing Zone","Clear","No",18,"16-19","No",NA,"With Traffic","C: Possible Injury","Travel Lane","White","Male",51,"50-59","No",NA,"16-20 mph","O: No Injury","White","Female","Passenger Car","No","01MAR2012","Thursday","Bicyclist Overtaking Motorist",16,"Non-Intersection","March","C: Possible Injury",58800,"Bicyclist Overtaking - Other / Unknown",2012,"No","No","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
18,1818,"Mooresville","Iredell","Piedmont","Residential","Urban (>70% Developed)",NA,"Urban","30 - 35  MPH","No Control Present","Clear","No",49,"40-49","No",NA,"With Traffic","C: Possible Injury","Other","Black","Male",NA,"70+","No",NA,"26-30 mph","O: No Injury","White","Male","Passenger Car","No","03FEB2012","Friday","Motorist Overtaking Bicyclist",17,"Non-Intersection","February","C: Possible Injury",63360,"Motorist Overtaking - Bicyclist Swerved",2012,"No","No","Daylight","Straight - Grade","NC Route","Dry","Two-Way, Not Divided","None","No Special Feature","Coarse Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
19,2439,"None - Rural Crash","Swain","Mountains","Farms, Woods, Pastures","Rural (<30% Developed)",NA,"Rural","50 - 55  MPH","Double Yellow Line, No Passing Zone","Clear","No",56,"50-59","No",NA,"With Traffic","B: Evident Injury","Bike Lane / Paved Shoulder","White","Male",NA,"70+","No",NA,"36-40 mph","O: No Injury","White","Male","Sport Utility","No","20SEP2012","Thursday","Bicyclist Left Turn / Merge",14,"Intersection-Related","September","B: Evident Injury",52620,"Bicyclist Left Turn - Same Direction",2012,"Yes","No","Daylight","Straight - Grade","US Route","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
20,2456,"Raleigh","Wake","Piedmont","Residential","Urban (>70% Developed)",NA,"Urban","40 - 45  MPH","No Control Present","Clear","No",14,"11-15","No",NA,"Facing Traffic","O: No Injury","Bike Lane / Paved Shoulder","Black","Male",NA,NA,"Missing",NA,"6-10 mph","Unknown Injury","Unknown/Missing",NA,"Passenger Car","No","26SEP2012","Wednesday","Bicyclist Right Turn / Merge",10,"Non-Intersection","September","O: No Injury",36900,"Bicyclist Right Turn - Opposite Direction",2012,"No","Yes","Daylight","Straight - Level","Local Street","Dry","Two-Way, Not Divided","None","No Special Feature","Smooth Asphalt",0,0,0,0,0,0,0,"2 lanes",2,0,NA,0,NA
